trade_id,trade_timestamp,ticker,side,quantity,price,trader_id,exchange,commission,trade_value
TRD-20260430037,2026-04-30 14:46:18,GOOGL,BUY,200,141.03,T-1005,NASDAQ,14.1,28206.0
TRD-20260430038,2026-04-30 14:04:37,XOM,SELL,100,114.34,T-1005,NASDAQ,5.72,11434.0
TRD-20260430039,2026-04-30 10:07:25,AAPL,BUY,100,181.79,T-1005,NASDAQ,9.09,18179.0
TRD-20260430040,2026-04-30 14:41:07,PG,BUY,500,161.2,T-1002,NASDAQ,40.3,80600.0
TRD-20260430041,2026-04-30 11:52:24,WMT,SELL,1000,162.54,T-1002,NYSE,81.27,162540.0
TRD-20260430042,2026-04-30 13:39:42,AMZN,SELL,200,176.63,T-1003,NASDAQ,17.66,35326.0
TRD-20260430043,2026-04-30 10:10:00,AAPL,BUY,750,178.2,T-1005,NASDAQ,66.83,133650.0
TRD-20260430044,2026-04-30 11:43:24,V,BUY,250,273.21,T-1003,NYSE,34.15,68302.5
TRD-20260430045,2026-04-30 15:04:03,GOOGL,SELL,750,142.45,T-1005,NASDAQ,53.42,106837.5
TRD-20260430046,2026-04-30 10:43:20,PG,BUY,250,160.92,T-1003,NASDAQ,20.12,40230.0
TRD-20260430047,2026-04-30 12:03:52,MSFT,SELL,200,419.23,T-1005,NASDAQ,41.92,83846.0
TRD-20260430048,2026-04-30 14:06:01,XOM,SELL,1000,114.48,T-1004,NYSE,57.24,114480.0
TRD-20260430049,2026-04-30 09:54:04,AAPL,SELL,500,175.59,T-1001,NYSE,43.9,87795.0
